2025-01-27 06:08:58,244 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': 'data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio', 'module_directory': 'src/'}
2025-01-27 06:17:25,470 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': 'data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio', 'module_directory': 'src/'}
2025-01-27 06:32:31,254 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': 'data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio', 'module_directory': 'src/'}
2025-01-27 06:32:31,381 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': 'data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio', 'module_directory': 'src/'}
2025-01-27 06:33:20,023 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': 'data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio', 'module_directory': 'src/'}
2025-01-27 12:38:35,893 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': 'data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio', 'module_directory': 'src/'}
2025-01-27 12:50:50,932 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': 'data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio', 'module_directory': 'src/'}
2025-01-27 12:51:26,228 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': 'data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio', 'module_directory': 'src/'}
2025-01-27 12:51:26,328 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': 'data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio', 'module_directory': 'src/'}
